trial,auc,brier,n_estimators,max_depth,learning_rate,subsample,reg_lambda
6,0.8041527750020885,0.1416795700788498,100,5,0.04427867705895524,0.8447515212445088,0.022006213700228344
10,0.8011665297326562,0.140888512134552,150,4,0.03775978677057298,0.921279499871004,0.1577613515193181
15,0.8047323653843511,0.14319457113742828,300,4,0.03696007710679196,0.741242081685786,5.772403608882356
18,0.8005594468077457,0.14088238775730133,100,3,0.03686452246189981,0.9707619183034596,0.004060943089805484
39,0.8042337986974879,0.14275862276554108,150,6,0.044228976240364655,0.7006320145427692,8.552989819787166
