trial,auc,brier,n_estimators,max_depth,learning_rate,subsample,reg_lambda
0,0.8703876046953973,0.12644022703170776,150,5,0.014572833007819773,0.9828657120414694,0.022090136195037663
17,0.8702561373724699,0.12578953802585602,250,3,0.02940553361722436,0.8910540863079641,0.2510716475704933
21,0.8698891296412906,0.125468447804451,100,4,0.030444774793530756,0.9307462104880596,0.0021262776025223404
29,0.8704172505141734,0.1265515238046646,100,3,0.0842683438406956,0.676578115685564,0.03355509715251013
38,0.8711244971781433,0.12915712594985962,300,2,0.13200435968871407,0.9339367409020892,0.012139111524610913
